id,meta.status,meta.reviewedBy,meta.changelog,meta.rootId,meta.parentId,label.fullName.de,label.fullName.en,definition.de,definition.en
/,01 in preparation,,,,,,,,
/accelerating-method/,01 in preparation,,,/,/,Beschleunigungmethoden,Accelerating Methods,,
/accelerating-method/cavity-based/,01 in preparation,,,/accelerating-method/,/accelerating-method/,Hohlraumbasierte Beschleunigungmethoden,Cavity Based Acceleration,,
/accelerating-method/cavity-based/cavity-based_laser-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/cavity-based/,Hohlraumbasierte lasergetriebene Beschleunigung,Cavity Based Laser Driven Acceleration,,
/accelerating-method/cavity-based/cavity-based_radiofrequency-driven_acceleration/,01 in preparation,,,/accelerating-method/,/accelerating-method/cavity-based/,Hohlraumbasierte hochfrequenzgetriebene Beschleunigung,Cavity Based Radiofrequency Driven Acceleration,,
/accelerating-method/cavity-based/cavity-based_radiofrequency-driven_acceleration/superconducting,01 in preparation,,,/accelerating-method/,/accelerating-method/cavity-based/cavity-based_radiofrequency-driven_acceleration/,supraleitende hohlraumbasierte hochfrequenzgetriebene Beschleunigung,Superconducting,,
/accelerating-method/cavity-based/cavity-based_terahertz-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/cavity-based/,Hohlraumbasierte Terahertzstrahlung-getriebene Beschleunigung,Cavity Based Terahertz Driven Acceleration,,
/accelerating-method/plasma-based-acceleration/,01 in preparation,,,/accelerating-method/,/accelerating-method/,Plasmabasierte Beschleunigung,Plasma Based Acceleration,,
/accelerating-method/plasma-based-acceleration/plasma-based_beam-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/plasma-based-acceleration/,Plasmabasierte teilchenstrahlgetriebene Beschleunigung,Plasma Based Beam Driven Acceleration,,
/accelerating-method/plasma-based-acceleration/plasma-based_laser-driven_acceleration,01 in preparation,,,/accelerating-method/,/accelerating-method/plasma-based-acceleration/,Plasmabasierte lasergetriebene Beschleunigung,Plasma Based Laser Driven Acceleration,,
/accelerator-application/,01 in preparation,,,/,/,Anwendungen,Applications,,
/accelerator-application/industrial-application/,01 in preparation,,,/accelerator-application/,/accelerator-application/,Industrielle Anwendung ,Industrial Applicartion,,
/accelerator-application/industrial-application/manufacturing,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Fertigung und Materialverarbeitung,Manufacturing And Materials Processing,"Die Ionenimplantation ist in der Halbleiterindustrie für die Herstellung von digitaler Elektronik von entscheidender Bedeutung. Die Ionenimplantation wird auch zur Härtung von Schneidwerkzeugen und künstlichen menschlichen Gelenken sowie zur Veränderung der Oberflächen von Keramiken und Gläsern eingesetzt. Von Beschleunigern erzeugte Elektronenstrahlen werden für die Vernetzung und Polymerisation von Materialien, die Aushärtung von Tinten und Klebstoffen und den 3D-Druck von Metallen eingesetzt.","Ion Implantation is critical in the semiconductor industry for the fabrication of digital electronics. Ion implantation is also used to harden cutting tools and artificial human joints, and to modify the surfaces of ceramics and glasses. Accelerator-generated electron beams are used for cross-linking and polymerisation of materials, curing of inks and adhesives, and 3D printing of metals."
/accelerator-application/industrial-application/quality-control,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Quallitätssicherung,Quality Control,,
/accelerator-application/industrial-application/sterilization,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Sterilisation,Sterilzation,"Beschleunigererzeugte Elektronen- und Röntgenstrahlen werden zur Sterilisierung medizinischer Geräte, zur Konservierung und Desinfektion von Lebensmitteln sowie zur Behandlung und Reinigung von Abwässern eingesetzt.","Accelerator-generated electron beams and X-rays are used to sterilise medical equipment, preserve and disinfect food, and treat and purify waste water."
/accelerator-application/industrial-application/transmutation,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Transmutation,Transmutation,,
/accelerator-application/ion-beam-analysis,01 in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Ionenstrahlanalyse,Ion Beam Analysis,,
/accelerator-application/medical-application/,01 in preparation,,,/accelerator-application/,/accelerator-application/,Gesundheitsanwendung ,Health Application,,
/accelerator-application/medical-application/proton-therapy,01 in preparation,,,/accelerator-application/,/accelerator-application/medical-application/,Protonentherapie,Proton Therapy,Eine medizinische Anwendung von Beschleunigertechnologie,
/accelerator-application/medical-application/radiosotope-production,01 in preparation,,,/accelerator-application/,/accelerator-application/medical-application/,Radioisotopproduktion,Radiosotope Production,,
/accelerator-application/metrology,01 in preparation,,,/accelerator-application/,/accelerator-application/,Metrologie,Metrology,Grundlagen der Metrologie/Radiometrie Metrologie für die Industrie/EUV-Lithographie Forschung und Entwicklung für optische Technologien/Weltrauminstrumente Materialmetrologie/Nanometrologie,
/accelerator-application/science-application/,01 in preparation,,,/accelerator-application/,/accelerator-application/,Wissenschaftliche Anwendungen,Science,,
/accelerator-application/science-application/accelerator-science,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Beschleunigerforschung,Accelerator Science,,
/accelerator-application/science-application/hadron-physics,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Hadronen- und Kernpysik,Hadron And Nuclear  Physics,,
/accelerator-application/science-application/high-energy-physics,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Teilchenphysik,High Energy Physics,,
/accelerator-application/science-application/neutron-science,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Forschung mit Neutronen,Neutron Science,,
/accelerator-application/science-application/photon-science,01 in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Forschung Mit Photonen,Photon Science,,
/accelerator-application/security,01 in preparation,,,/accelerator-application/,/accelerator-application/,Sicherheitsanwendungen,Security,,
/accelerator-research-subfield/,01 in preparation,,,/,/,Beschleunigerforschungs-Bereiche,Accelerator Research Subfields,,
/accelerator-research-subfield/beam-dynamics,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Strahldynamik,Beam Dynamics,"Die Strahldynamik befasst sich mit dem Verständnis und der Kontrolle des Verhaltens von Teilchenstrahlen in Beschleunigern. Dazu gehören die Untersuchung von Teilchenbewegungen und -flugbahnen, die Entwicklung von Techniken zur Strahlfokussierung und -lenkung sowie die Analyse von Strahlinstabilitäten und deren Eindämmung.","Beam dynamics focuses on understanding and controlling the behaviour of particle beams in accelerators. This includes the study of particle motion and trajectories, the development of beam focusing and steering techniques, and the analysis of beam instabilities and their mitigation."
/accelerator-research-subfield/cryogenics,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Kältetechnik,Cryogenics,,
/accelerator-research-subfield/geodesy-and-alignment,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Vermessung und Ausrichtung,Geodesy And Alignment,,
/accelerator-research-subfield/instrumentation-and-diagnostics,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Strahldiagnostik und Instrumentierung,Beam Diagnostics And Instrumentation,,
/accelerator-research-subfield/magnet-technology,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Magnetentwicklung und -optimierung,Magnet Development And Optimisation,,
/accelerator-research-subfield/operations-and-control,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Beschleunigerbetrieb und -steuerung,Accelerator Operations And Control,"Der Bereich Beschleunigerbetrieb und -steuerung umfasst die Entwicklung von Steuerungssystemen für den Beschleunigerbetrieb, die Verbesserung der Zuverlässigkeit und Effizienz von Beschleunigern und die Anwendung von Techniken des maschinellen Lernens zur Optimierung von Beschleunigern.","Accelerator operations and control includes developing control systems for accelerator operations, improving accelerator reliability and efficiency, and implementing machine learning techniques for accelerator optimization."
/accelerator-research-subfield/simulation,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Modellierung und Simulation,Modelling And Simulation,,
/accelerator-research-subfield/vacuum-technology,01 in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Vakuumtechnologie,Vacuum Technology,,
/accelerator-subsystem/,01 in preparation,,,/,/,Beschleuigungerkomponenten,Accelerator Subsystems,,
/accelerator-subsystem/collimator,01 in preparation,,,/accelerator-subsystem/,/accelerator-subsystem/,Kollimator,Collimator,,
/accelerator-subsystem/laser,01 in preparation,,,/accelerator-subsystem/,/accelerator-subsystem/,Laser,Laser,,
/accelerator-subsystem/magnet,01 in preparation,,,/accelerator-subsystem/,/accelerator-subsystem/,Magnet,Magnet,Magnete erfüllen in Teilchenbeschleunigern wichtige Funktionen. Dipolmagnete lenken die Flugbahn geladeneer Teilcehn ab und ermöglichen ringförmige Anlagen sowie die Extraktion von Teilchen. Quadrupolmagnete dienen der Fokussierung der Teilchenstrahlen. Sextupolmagnete und weitere Korrekturmagnete dienen der Feinanpassung.,
/accelerator-subsystem/magnet/dipole-magnet,01 in preparation,,,/accelerator-subsystem/,/accelerator-subsystem/magnet,Dipolmagnet,Dipole Magnet,Dipolmagnete erzeugen ein homogenes Magnetfeld zur Strahlablenkung. as Magnetfeld muss präzise an die Art der Teilchen und deren Geschwindigkeit angepasst werden,
/accelerator-subsystem/magnet/kicker-magnet,01 in preparation,,,/accelerator-subsystem/,/accelerator-subsystem/magnet,Kickermagnet,Kicker Magnet,"Ein Kickermagnet ist ein spezialisierter Elektromagnet, der in Teilchenbeschleunigern verwendet wird, um Teilchenstrahlen schnell abzulenken oder umzuleiten. Sie erzeugen kurze, rechteckige Magnetfeldpulse mit sehr schnellen Anstiegs- und Abfallzeiten (typischerweise 10-100 Nanosekunden). Dadurch lassen sich einzelne Teilchenopakete in einen Teilchenstrahl einbringen oder aus ihm extrahieren. Kickermagnete spielen eine entscheidende Rolle bei der präzisen Kontrolle und Manipulation von Teilchenstrahlen in modernen Beschleunigeranlage",
